Permutation,DMT,Probability
1-4-3-2-0,DMT11,0.07869223207261523
1-4-3-2-0,DMT12,0.025824885133839733
1-4-3-2-0,DMT3,0.047422208339117956
1-4-3-2-0,DMT6,0.03323843570469976
1-4-3-2-0,DMT13,0.04482623179495315
1-4-3-2-0,DMT5,0.04540839663367777
1-4-3-2-0,DMT15,0.05913430746448239
1-4-3-2-0,DMT1,0.03280257564639072
1-4-3-2-0,DMT4,0.02524168368999689
1-4-3-2-0,DMT8,0.042226352776290305
1-4-3-2-0,DMT10,0.04586765468091999
1-4-3-2-0,DMT7,0.03967796486913522
1-4-3-2-0,DMT14,0.05607943251158577
1-4-3-2-0,DMT2,0.04650508848826216
1-4-3-2-0,DMT9,0.03539819255204511
4-0-1-2-3,DMT11,0.06963909468938205
4-0-1-2-3,DMT12,0.018455900649861495
4-0-1-2-3,DMT3,0.054712316164561056
4-0-1-2-3,DMT6,0.06246020328831241
4-0-1-2-3,DMT13,0.06308116049529626
4-0-1-2-3,DMT5,0.05763812683868493
4-0-1-2-3,DMT15,0.04303523888855833
4-0-1-2-3,DMT1,0.030374554583738257
4-0-1-2-3,DMT4,0.023898574667962417
4-0-1-2-3,DMT8,0.03364402828186668
4-0-1-2-3,DMT10,0.06449518798384271
4-0-1-2-3,DMT7,0.029360595122402695
4-0-1-2-3,DMT14,0.04454872275440788
4-0-1-2-3,DMT2,0.04100025419302804
4-0-1-2-3,DMT9,0.022004009572730934
4-0-1-3-2,DMT11,0.07209119996297837
4-0-1-3-2,DMT12,0.020908005923457817
4-0-1-3-2,DMT3,0.05453699239073666
4-0-1-3-2,DMT6,0.06368612106066916
4-0-1-3-2,DMT13,0.061679918949115106
4-0-1-3-2,DMT5,0.05886404461104169
4-0-1-3-2,DMT15,0.041633997342377174
4-0-1-3-2,DMT1,0.030374554583738257
4-0-1-3-2,DMT4,0.023723250894138022
4-0-1-3-2,DMT8,0.036096133555463
4-0-1-3-2,DMT10,0.06694729325743903
4-0-1-3-2,DMT7,0.025507248302625223
4-0-1-3-2,DMT14,0.04069537593463041
4-0-1-3-2,DMT2,0.03837282514560732
4-0-1-3-2,DMT9,0.02322992734508769
4-0-2-1-3,DMT11,0.06353052881405233
4-0-2-1-3,DMT12,0.01641971202475159
4-0-2-1-3,DMT3,0.060530114304225086
4-0-2-1-3,DMT6,0.06246020328831241
4-0-2-1-3,DMT13,0.06889895863496029
4-0-2-1-3,DMT5,0.05560193821357502
4-0-2-1-3,DMT15,0.044780659778002545
4-0-2-1-3,DMT1,0.02630217733351844
4-0-2-1-3,DMT4,0.029716372807626446
4-0-2-1-3,DMT8,0.029571651031646867
4-0-2-1-3,DMT10,0.06449518798384271
4-0-2-1-3,DMT7,0.03110601601184691
4-0-2-1-3,DMT14,0.04425795501874219
4-0-2-1-3,DMT2,0.042745675082472255
4-0-2-1-3,DMT9,0.01793163232251112
4-0-2-3-1,DMT11,0.061936700845547144
4-0-2-3-1,DMT12,0.017523172884314077
4-0-2-3-1,DMT3,0.06420813735017816
4-0-2-3-1,DMT6,0.06368612106066916
4-0-2-3-1,DMT13,0.07135106390855661
4-0-2-3-1,DMT5,0.055479211571897946
4-0-2-3-1,DMT15,0.0445354762235312
4-0-2-3-1,DMT1,0.023604888505450772
4-0-2-3-1,DMT4,0.03339439585357952
4-0-2-3-1,DMT8,0.029326467477175516
4-0-2-3-1,DMT10,0.06694729325743903
4-0-2-3-1,DMT7,0.02840872718377924
4-0-2-3-1,DMT14,0.04021202177664068
4-0-2-3-1,DMT2,0.04127430402676134
4-0-2-3-1,DMT9,0.016460261266800207
4-0-3-1-2,DMT11,0.06968483224582349
4-0-3-1-2,DMT12,0.022574015456522743
4-0-3-1-2,DMT3,0.0600900860091364
4-0-3-1-2,DMT6,0.06553701652089407
4-0-3-1-2,DMT13,0.06538211710728994
4-0-3-1-2,DMT5,0.05867875144615668
4-0-3-1-2,DMT15,0.04126381825033219
4-0-3-1-2,DMT1,0.02630217733351844
4-0-3-1-2,DMT4,0.02927634451253776
4-0-3-1-2,DMT8,0.03572595446341802
4-0-3-1-2,DMT10,0.07064949141561386
4-0-3-1-2,DMT7,0.02143487105240541
4-0-3-1-2,DMT14,0.034586810059300685
4-0-3-1-2,DMT2,0.03615134335561241
4-0-3-1-2,DMT9,0.02100844555509278
4-0-3-2-1,DMT11,0.06563889900372198
4-0-3-2-1,DMT12,0.021225371042488908
4-0-3-2-1,DMT3,0.06394343282891388
4-0-3-2-1,DMT6,0.06553701652089407
4-0-3-2-1,DMT13,0.06923546392706742
4-0-3-2-1,DMT5,0.05733010703212285
4-0-3-2-1,DMT15,0.04241987624204201
4-0-3-2-1,DMT1,0.023604888505450772
4-0-3-2-1,DMT4,0.033129691332315234
4-0-3-2-1,DMT8,0.033028665635350354
4-0-3-2-1,DMT10,0.07064949141561386
4-0-3-2-1,DMT7,0.02259092904411521
4-0-3-2-1,DMT14,0.034394223636976654
4-0-3-2-1,DMT2,0.03730740134732222
4-0-3-2-1,DMT9,0.018311156727025112
