Permutation,SkewScore,SatisfiedPairs,DMT12,DMT4,DMT5,DMT15,DMT9,DMT10,DMT6,DMT11,DMT1,DMT3,DMT13,DMT8,DMT2,DMT14
"['Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms']",0.684,7,1.394,5.869,6.924,2.834,8.147,8.158,7.213,3.986,0.903,4.357,4.256,1.846,1.888,1.498
"['Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics']",0.683,9,1.492,5.588,7.022,2.749,8.344,8.158,7.213,4.282,1.1,4.076,3.975,2.042,1.804,1.512
"['Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms']",0.683,7,1.235,6.096,6.765,3.219,7.988,8.158,6.895,3.828,0.586,4.742,4.483,1.528,1.956,1.566
"['Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures']",0.683,7,1.218,5.98,6.748,3.416,8.069,8.158,6.664,4.007,0.551,4.742,4.367,1.493,1.921,1.63
"['Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics']",0.682,9,1.469,5.429,6.998,3.019,8.455,8.158,6.895,4.528,1.052,4.076,3.816,1.995,1.756,1.6
"['Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures']",0.682,8,1.353,5.594,6.883,3.3,8.339,8.158,6.664,4.412,0.821,4.357,3.981,1.763,1.806,1.649
"['Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics']",0.681,10,2.096,6.493,6.375,2.879,8.646,7.339,6.566,3.937,1.1,4.032,3.63,2.646,2.105,1.512
"['Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms']",0.681,10,1.998,6.774,6.277,2.963,8.449,7.339,6.566,3.641,0.903,4.314,3.911,2.449,2.19,1.498
"['Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms']",0.681,9,1.839,7.001,6.118,3.348,8.29,7.339,6.248,3.483,0.586,4.699,4.138,2.132,2.258,1.566
"['Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures']",0.68,9,1.822,6.885,6.101,3.545,8.371,7.339,6.017,3.662,0.551,4.699,4.022,2.097,2.223,1.63
"['Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics']",0.679,9,2.072,6.334,6.352,3.148,8.757,7.339,6.248,4.183,1.052,4.032,3.471,2.599,2.058,1.6
"['Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures']",0.679,10,1.956,6.5,6.236,3.43,8.641,7.339,6.017,4.067,0.821,4.314,3.636,2.367,2.108,1.649
"['Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.673,8,1.362,5.272,7.077,2.379,8.398,7.788,7.507,4.151,1.579,3.52,3.844,2.151,2.098,1.991
