Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics']",0.668,7,9.191,4.142,7.229,7.419,5.934,5.728,5.453,1.492,3.575,5.627,1.512,2.042,1.1,1.804,5.214
"['Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms']",0.668,6,9.191,4.423,7.13,7.419,5.638,6.009,5.256,1.394,3.66,5.908,1.498,1.846,0.903,1.888,5.298
"['Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics']",0.666,8,9.191,3.983,7.205,7.102,6.18,5.728,5.564,1.469,3.845,5.468,1.6,1.995,1.052,1.756,5.325
"['Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms']",0.665,7,9.191,4.65,6.972,7.102,5.48,6.394,5.097,1.235,4.045,6.135,1.566,1.528,0.586,1.956,5.525
"['Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures']",0.664,8,9.191,4.149,7.089,6.87,6.064,6.009,5.448,1.353,4.126,5.634,1.649,1.763,0.821,1.806,5.491
"['Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures']",0.664,8,9.191,4.534,6.954,6.87,5.659,6.394,5.178,1.218,4.242,6.019,1.63,1.493,0.551,1.921,5.606
"['Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics']",0.662,6,8.158,5.588,7.022,7.213,4.282,4.076,8.344,1.492,2.749,3.975,1.512,2.042,1.1,1.804,8.105
"['Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms']",0.662,5,8.158,5.869,6.924,7.213,3.986,4.357,8.147,1.394,2.834,4.256,1.498,1.846,0.903,1.888,8.19
"['Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics']",0.66,7,8.158,5.429,6.998,6.895,4.528,4.076,8.455,1.469,3.019,3.816,1.6,1.995,1.052,1.756,8.216
"['Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms']",0.659,6,8.158,6.096,6.765,6.895,3.828,4.742,7.988,1.235,3.219,4.483,1.566,1.528,0.586,1.956,8.416
"['Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures']",0.658,7,8.158,5.594,6.883,6.664,4.412,4.357,8.339,1.353,3.3,3.981,1.649,1.763,0.821,1.806,8.382
"['Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures']",0.658,7,8.158,5.98,6.748,6.664,4.007,4.742,8.069,1.218,3.416,4.367,1.63,1.493,0.551,1.921,8.497
"['Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.654,6,8.821,3.826,7.283,7.713,5.803,5.172,5.507,1.362,3.205,5.496,1.991,2.151,1.579,2.098,5.453
"['Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.654,8,8.821,4.108,7.185,7.713,5.508,5.454,5.31,1.263,3.289,5.777,1.977,1.954,1.382,2.182,5.538
"['Thermofluids', 'Instrumentation', 'Materials', 'Structures', 'Mechanisms', 'Dynamics']",0.653,6,8.964,4.217,6.7,6.891,6.537,6.633,4.094,2.096,4.179,6.23,1.512,2.646,1.1,2.105,3.554
"['Thermofluids', 'Instrumentation', 'Materials', 'Structures', 'Dynamics', 'Mechanisms']",0.652,6,8.964,4.499,6.602,6.891,6.242,6.915,3.897,1.998,4.263,6.512,1.498,2.449,0.903,2.19,3.638
"['Thermofluids', 'Instrumentation', 'Materials', 'Mechanisms', 'Structures', 'Dynamics']",0.651,7,8.964,4.059,6.677,6.574,6.783,6.633,4.205,2.072,4.449,6.072,1.6,2.599,1.052,2.058,3.665
"['Thermofluids', 'Instrumentation', 'Materials', 'Dynamics', 'Structures', 'Mechanisms']",0.65,6,8.964,4.725,6.443,6.574,6.083,7.3,3.739,1.839,4.649,6.738,1.566,2.132,0.586,2.258,3.865
"['Thermofluids', 'Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Structures']",0.649,6,8.964,4.224,6.561,6.342,6.668,6.915,4.09,1.956,4.73,6.237,1.649,2.367,0.821,2.108,3.83
"['Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Dynamics']",0.649,8,8.821,3.428,7.223,6.917,6.42,5.172,5.786,1.302,3.882,5.098,2.21,2.032,1.46,1.978,5.732
"['Thermofluids', 'Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Structures']",0.648,7,8.964,4.61,6.426,6.342,6.263,7.3,3.82,1.822,4.846,6.623,1.63,2.097,0.551,2.223,3.946
"['Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.648,6,7.788,5.272,7.077,7.507,4.151,3.52,8.398,1.362,2.379,3.844,1.991,2.151,1.579,2.098,8.345
"['Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.648,7,7.788,5.553,6.978,7.507,3.856,3.802,8.201,1.263,2.463,4.125,1.977,1.954,1.382,2.182,8.429
"['Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Structures']",0.647,8,8.821,3.594,7.108,6.685,6.304,5.454,5.67,1.186,4.163,5.263,2.26,1.8,1.228,2.028,5.898
"['Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Mechanisms']",0.647,7,8.821,4.676,6.786,6.917,5.109,6.421,4.912,0.865,4.257,6.346,2.148,1.158,0.586,2.353,6.107
"['Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Structures']",0.645,8,8.821,4.561,6.769,6.685,5.289,6.421,4.993,0.848,4.454,6.23,2.212,1.123,0.551,2.318,6.188
"['Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics']",0.643,6,7.339,6.493,6.375,6.566,3.937,4.032,8.646,2.096,2.879,3.63,1.512,2.646,1.1,2.105,8.105
"['Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms']",0.643,6,7.339,6.774,6.277,6.566,3.641,4.314,8.449,1.998,2.963,3.911,1.498,2.449,0.903,2.19,8.19
