day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loses
-1,0,RAINFOREST_RESIN,10002,1,9996,2,9995,29,10004,2,10005,29,,,10003.0,0.0
-1,0,KELP,2028,1,2026,2,2025,29,2029,31,,,,,2028.5,0.0
-1,100,KELP, 2025, 24,,,,,2028,2,2029,22,,,2026.5,3.47265625
-1,100,RAINFOREST_RESIN, 9996,2,9995,22,,,10004,2,10005,22,,,10000.0,0.0
-1,200,RAINFOREST_RESIN,9995,20,,,,,10005,20,,,,,10000.0,0.0
-1,200,KELP,2025,22,,,,,2028,20,,,,,2026.5,3.70751953125
-1,300,KELP,2025,31,,,,,2028,2,2029,29,,,2026.5,3.44189453125
-1,300,RAINFOREST_RESIN,9996,2,9995,29,,,10004,2,10005,29,,,10000.0,0.0
-1,400,RAINFOREST_RESIN,9996,2,9995,25,,,10004,2,10005,25,,,10000.0,0.0
-1,400,KELP,2025,27,,,,,2028,27,,,,,2026.5,3.921875
-1,500,KELP,2025,30,,,,,2028,30,,,,,2026.5,4.6376953125
-1,500,RAINFOREST_RESIN,9995,30,,,,,10002,4,10005,30,,,9998.5,0.0
-1,600,RAINFOREST_RESIN,10000,5,9995,25,,,10005,25,,,,,10002.5,0.0
-1,600,KELP,2026,5,2025,31,,,2028,25,,,,,2027.0,2.2176513671875
-1,700,KELP,2025,2,2024,23,,,2028,23,,,,,2026.5,1.859130859375
-1,700,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000.0,0.0
-1,800,RAINFOREST_RESIN,9996,1,9995,29,,,10004,1,10005,29,,,10000.0,0.0
-1,800,KELP,2024,1,2023,29,,,2027,30,,,,,2025.5,1.2100830078125
-1,900,KELP,2024,23,,,,,2027,23,,,,,2025.5,1.7037353515625
-1,900,RAINFOREST_RESIN,9996,1,9995,22,,,10004,1,10005,22,,,10000.0,0.0
-1,1000,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000.0,0.0
-1,1000,KELP,2024,26,,,,,2026,6,2027,26,,,2025.0,1.73974609375
-1,1100,KELP,2025,6,2024,26,,,2027,2,2028,24,,,2026.0,1.8509521484375
-1,1100,RAINFOREST_RESIN,9996,2,9995,24,,,10004,2,10005,24,,,10000.0,0.0
-1,1200,RAINFOREST_RESIN,9995,21,,,,,9998,1,10005,21,,,9996.5,0.0
-1,1200,KELP,2024,21,,,,,2026,8,2028,21,,,2025.0,1.96337890625
-1,1300,KELP,2024,31,,,,,2028,31,,,,,2026.0,1.8984375
-1,1300,RAINFOREST_RESIN,10002,1,9996,1,9995,30,10004,1,10005,30,,,10003.0,0.0
-1,1400,RAINFOREST_RESIN,9996,1,9995,25,,,10004,1,10005,25,,,10000.0,0.0
-1,1400,KELP,2025,3,2024,25,,,2028,26,,,,,2026.5,2.7607421875
-1,1500,KELP,2024,27,,,,,2028,27,,,,,2026.0,3.0205078125
-1,1500,RAINFOREST_RESIN,9995,27,,,,,10005,27,,,,,10000.0,0.0
-1,1600,RAINFOREST_RESIN,9995,29,,,,,10005,29,,,,,10000.0,0.0
-1,1600,KELP,2024,29,,,,,2026,4,2028,29,,,2025.0,2.568359375
-1,1700,KELP,2024,22,,,,,2026,8,2028,22,,,2025.0,2.1435546875
-1,1700,RAINFOREST_RESIN,9996,2,9995,20,,,10002,1,10004,2,10005,20,9999.0,0.0
-1,1800,RAINFOREST_RESIN,10002,1,9996,1,9995,22,10004,1,10005,22,,,10003.0,0.0
-1,1800,KELP,2024,23,,,,,2028,23,,,,,2026.0,1.572265625
-1,1900,KELP,2024,29,,,,,2026,5,2027,29,,,2025.0,0.0576171875
-1,1900,RAINFOREST_RESIN,9996,1,9995,28,,,10004,1,10005,28,,,10000.0,0.0
-1,2000,KELP,2024,26,,,,,2027,26,,,,,2025.5,0.17578125
-1,2000,RAINFOREST_RESIN,9996,2,9995,24,,,9998,1,10004,2,10005,24,9997.0,0.0
-1,2100,RAINFOREST_RESIN,9996,2,9995,25,,,10002,3,10004,2,10005,25,9999.0,0.0
