timestamp,pos,future_pos,future_trend
0,0,50,Downtrend
1200,12,62,Uptrend
1500,15,65,Downtrend
1600,16,66,Downtrend
2000,20,70,Downtrend
2300,23,73,Downtrend
2800,28,78,Downtrend
2900,29,79,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3900,39,89,Uptrend
4600,46,96,Downtrend
4900,49,99,Downtrend
5000,50,100,Downtrend
5400,54,104,Downtrend
5500,55,105,Downtrend
5700,57,107,Downtrend
6100,61,111,Downtrend
6100,61,111,Downtrend
6200,62,112,Downtrend
6800,68,118,Downtrend
7100,71,121,Downtrend
7200,72,122,Downtrend
7300,73,123,Uptrend
7900,79,129,Uptrend
7900,79,129,Uptrend
8200,82,132,Uptrend
9100,91,141,Uptrend
9300,93,143,Uptrend
9400,94,144,Uptrend
9800,98,148,Downtrend
10000,100,150,Downtrend
10300,103,153,Downtrend
10400,104,154,Downtrend
10600,106,156,Uptrend
10800,108,158,Downtrend
11200,112,162,Downtrend
11700,117,167,Downtrend
12700,127,177,Downtrend
13000,130,180,Downtrend
13200,132,182,Downtrend
13200,132,182,Downtrend
13700,137,187,Downtrend
14200,142,192,Uptrend
14300,143,193,Uptrend
14400,144,194,Uptrend
14500,145,195,Uptrend
14800,148,198,Uptrend
15000,150,200,Uptrend
15000,150,200,Uptrend
15300,153,203,Uptrend
16200,162,212,Uptrend
16700,167,217,Uptrend
19000,190,240,Uptrend
19100,191,241,Downtrend
19500,195,245,Downtrend
19700,197,247,Downtrend
19700,197,247,Downtrend
19900,199,249,Downtrend
20300,203,253,Downtrend
20800,208,258,Uptrend
21600,216,266,Downtrend
21700,217,267,Downtrend
21800,218,268,Uptrend
22100,221,271,Downtrend
22200,222,272,Downtrend
22200,222,272,Downtrend
22400,224,274,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22900,229,279,Uptrend
23200,232,282,Downtrend
23600,236,286,Uptrend
23600,236,286,Uptrend
23600,236,286,Uptrend
24000,240,290,Uptrend
24300,243,293,Downtrend
24400,244,294,Downtrend
24400,244,294,Downtrend
24600,246,296,Uptrend
25400,254,304,Uptrend
25400,254,304,Uptrend
25500,255,305,Uptrend
25600,256,306,Uptrend
25700,257,307,Uptrend
25800,258,308,Uptrend
26400,264,314,Downtrend
26800,268,318,Downtrend
26900,269,319,Uptrend
27500,275,325,Uptrend
27900,279,329,Uptrend
28000,280,330,Uptrend
29300,293,343,Uptrend
29700,297,347,Downtrend
29900,299,349,Downtrend
29900,299,349,Downtrend
29900,299,349,Downtrend
30000,300,350,Downtrend
30200,302,352,Downtrend
30800,308,358,Downtrend
30800,308,358,Downtrend
31000,310,360,Downtrend
31200,312,362,Downtrend
31800,318,368,Downtrend
31800,318,368,Downtrend
31800,318,368,Downtrend
31800,318,368,Downtrend
31800,318,368,Downtrend
32300,323,373,Uptrend
32400,324,374,Uptrend
32400,324,374,Uptrend
32400,324,374,Uptrend
32500,325,375,Uptrend
32600,326,376,Uptrend
32800,328,378,Uptrend
33200,332,382,Uptrend
33200,332,382,Uptrend
33300,333,383,Uptrend
34800,348,398,Uptrend
35400,354,404,Downtrend
35400,354,404,Downtrend
35500,355,405,Downtrend
35800,358,408,Downtrend
36000,360,410,Uptrend
36800,368,418,Uptrend
36800,368,418,Uptrend
36800,368,418,Uptrend
36800,368,418,Uptrend
36800,368,418,Uptrend
36900,369,419,Uptrend
37300,373,423,Uptrend
37400,374,424,Uptrend
37800,378,428,Uptrend
39400,394,444,Uptrend
39500,395,445,Downtrend
39700,397,447,Downtrend
39900,399,449,Uptrend
40100,401,451,Uptrend
40200,402,452,Uptrend
41200,412,462,Uptrend
41400,414,464,Uptrend
41600,416,466,Downtrend
41900,419,469,Downtrend
42000,420,470,Downtrend
42200,422,472,Downtrend
42600,426,476,Downtrend
42900,429,479,Downtrend
43200,432,482,Downtrend
43400,434,484,Uptrend
43500,435,485,Uptrend
43800,438,488,Downtrend
44100,441,491,Downtrend
44800,448,498,Downtrend
44800,448,498,Downtrend
44800,448,498,Downtrend
45000,450,500,Downtrend
45600,456,506,Downtrend
46500,465,515,Uptrend
47000,470,520,Downtrend
47100,471,521,Downtrend
47200,472,522,Downtrend
47700,477,527,Downtrend
48200,482,532,Uptrend
48300,483,533,Uptrend
48300,483,533,Uptrend
48300,483,533,Uptrend
48300,483,533,Uptrend
48300,483,533,Uptrend
48300,483,533,Uptrend
48800,488,538,Uptrend
49200,492,542,Uptrend
49300,493,543,Uptrend
49300,493,543,Uptrend
49300,493,543,Uptrend
49500,495,545,Uptrend
49600,496,546,Uptrend
49600,496,546,Uptrend
50000,500,550,Downtrend
50100,501,551,Downtrend
50100,501,551,Downtrend
50100,501,551,Downtrend
50100,501,551,Downtrend
50100,501,551,Downtrend
50200,502,552,Downtrend
50200,502,552,Downtrend
50300,503,553,Downtrend
50500,505,555,Downtrend
50800,508,558,Downtrend
50800,508,558,Downtrend
52000,520,570,Downtrend
52500,525,575,Downtrend
52500,525,575,Downtrend
52700,527,577,Downtrend
52700,527,577,Downtrend
52700,527,577,Downtrend
52700,527,577,Downtrend
52700,527,577,Downtrend
52800,528,578,Downtrend
53000,530,580,Uptrend
53400,534,584,Uptrend
53800,538,588,Uptrend
53900,539,589,Uptrend
54100,541,591,Uptrend
54200,542,592,Uptrend
54500,545,595,Uptrend
54800,548,598,Uptrend
54800,548,598,Uptrend
55100,551,601,Downtrend
55100,551,601,Downtrend
55700,557,607,Downtrend
56300,563,613,Downtrend
56300,563,613,Downtrend
56500,565,615,Downtrend
56500,565,615,Downtrend
56500,565,615,Downtrend
56500,565,615,Downtrend
56500,565,615,Downtrend
56900,569,619,Downtrend
57000,570,620,Downtrend
57000,570,620,Downtrend
57000,570,620,Downtrend
57000,570,620,Downtrend
57000,570,620,Downtrend
57300,573,623,Downtrend
58100,581,631,Uptrend
58600,586,636,Uptrend
58600,586,636,Uptrend
58600,586,636,Uptrend
59000,590,640,Uptrend
59200,592,642,Uptrend
59200,592,642,Uptrend
59500,595,645,Downtrend
59700,597,647,Downtrend
59800,598,648,Downtrend
60100,601,651,Uptrend
60100,601,651,Uptrend
60100,601,651,Uptrend
60200,602,652,Uptrend
60700,607,657,Uptrend
61100,611,661,Uptrend
61200,612,662,Uptrend
61500,615,665,Downtrend
61600,616,666,Downtrend
62000,620,670,Downtrend
62300,623,673,Downtrend
63000,630,680,Downtrend
63600,636,686,Downtrend
63600,636,686,Downtrend
63600,636,686,Downtrend
63900,639,689,Downtrend
64100,641,691,Uptrend
64200,642,692,Downtrend
64400,644,694,Downtrend
64600,646,696,Downtrend
64700,647,697,Downtrend
65100,651,701,Uptrend
65300,653,703,Uptrend
65400,654,704,Uptrend
65700,657,707,Uptrend
66400,664,714,Uptrend
66500,665,715,Uptrend
66500,665,715,Uptrend
67200,672,722,Uptrend
67200,672,722,Uptrend
67200,672,722,Uptrend
67200,672,722,Uptrend
67200,672,722,Uptrend
67300,673,723,Uptrend
67400,674,724,Uptrend
67500,675,725,Uptrend
67800,678,728,Uptrend
67900,679,729,Uptrend
68100,681,731,Downtrend
68200,682,732,Downtrend
69100,691,741,Uptrend
69100,691,741,Uptrend
69500,695,745,Uptrend
69800,698,748,Downtrend
70300,703,753,Downtrend
71200,712,762,Downtrend
71500,715,765,Downtrend
71700,717,767,Downtrend
71700,717,767,Downtrend
71700,717,767,Downtrend
71700,717,767,Downtrend
71700,717,767,Downtrend
72400,724,774,Downtrend
72400,724,774,Downtrend
72600,726,776,Downtrend
73100,731,781,Downtrend
73600,736,786,Downtrend
73800,738,788,Downtrend
74400,744,794,Uptrend
74400,744,794,Uptrend
74400,744,794,Uptrend
74500,745,795,Uptrend
74500,745,795,Uptrend
74700,747,797,Uptrend
75100,751,801,Uptrend
75500,755,805,Downtrend
75600,756,806,Uptrend
75700,757,807,Downtrend
76000,760,810,Uptrend
76000,760,810,Uptrend
76000,760,810,Uptrend
76000,760,810,Uptrend
76000,760,810,Uptrend
76000,760,810,Uptrend
76400,764,814,Uptrend
76800,768,818,Uptrend
76900,769,819,Uptrend
77000,770,820,Uptrend
77200,772,822,Uptrend
77500,775,825,Uptrend
77800,778,828,Uptrend
78200,782,832,Uptrend
79200,792,842,Uptrend
79600,796,846,Uptrend
79800,798,848,Downtrend
80500,805,855,Downtrend
80700,807,857,Downtrend
80900,809,859,Downtrend
81600,816,866,Uptrend
81900,819,869,Uptrend
82300,823,873,Uptrend
82500,825,875,Downtrend
82800,828,878,Downtrend
82800,828,878,Downtrend
83500,835,885,Downtrend
83800,838,888,Downtrend
83900,839,889,Uptrend
84800,848,898,Uptrend
85200,852,902,Uptrend
85500,855,905,Downtrend
85600,856,906,Downtrend
86500,865,915,Downtrend
86700,867,917,Downtrend
86900,869,919,Downtrend
86900,869,919,Downtrend
87000,870,920,Downtrend
87000,870,920,Downtrend
87300,873,923,Downtrend
87300,873,923,Downtrend
