timestamp,pos,future_pos,future_trend
1200,12,62,Uptrend
1200,12,62,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
3500,35,85,Uptrend
4200,42,92,Uptrend
4200,42,92,Uptrend
4200,42,92,Uptrend
4200,42,92,Uptrend
4200,42,92,Uptrend
5700,57,107,Downtrend
5700,57,107,Downtrend
7600,76,126,Uptrend
7600,76,126,Uptrend
7600,76,126,Uptrend
7600,76,126,Uptrend
7600,76,126,Uptrend
8000,80,130,Uptrend
9100,91,141,Uptrend
9400,94,144,Uptrend
9400,94,144,Uptrend
9400,94,144,Uptrend
9400,94,144,Uptrend
9400,94,144,Uptrend
10500,105,155,Downtrend
10500,105,155,Downtrend
12200,122,172,Downtrend
12200,122,172,Downtrend
12500,125,175,Downtrend
12500,125,175,Downtrend
12500,125,175,Downtrend
12500,125,175,Downtrend
12500,125,175,Downtrend
15000,150,200,Uptrend
15000,150,200,Uptrend
15000,150,200,Uptrend
15000,150,200,Uptrend
15000,150,200,Uptrend
15200,152,202,Uptrend
15200,152,202,Uptrend
15500,155,205,Uptrend
15500,155,205,Uptrend
16100,161,211,Uptrend
16100,161,211,Uptrend
16200,162,212,Uptrend
17300,173,223,Uptrend
17300,173,223,Uptrend
17300,173,223,Uptrend
17300,173,223,Uptrend
17300,173,223,Uptrend
17900,179,229,Downtrend
17900,179,229,Downtrend
17900,179,229,Downtrend
17900,179,229,Downtrend
17900,179,229,Downtrend
19400,194,244,Downtrend
19400,194,244,Downtrend
19400,194,244,Downtrend
19400,194,244,Downtrend
19400,194,244,Downtrend
20500,205,255,Downtrend
21000,210,260,Uptrend
21000,210,260,Uptrend
21000,210,260,Uptrend
21000,210,260,Uptrend
21000,210,260,Uptrend
21300,213,263,Uptrend
21300,213,263,Uptrend
21300,213,263,Uptrend
21300,213,263,Uptrend
21300,213,263,Uptrend
21400,214,264,Downtrend
21400,214,264,Downtrend
21400,214,264,Downtrend
21400,214,264,Downtrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
22800,228,278,Uptrend
23900,239,289,Uptrend
23900,239,289,Uptrend
24100,241,291,Uptrend
24100,241,291,Uptrend
24100,241,291,Uptrend
24100,241,291,Uptrend
24100,241,291,Uptrend
26400,264,314,Downtrend
26400,264,314,Downtrend
26400,264,314,Downtrend
26400,264,314,Downtrend
26400,264,314,Downtrend
26400,264,314,Downtrend
26400,264,314,Downtrend
27100,271,321,Downtrend
