timestamp,pos,future_pos,future_trend
100,1,21,Downtrend
300,3,23,Downtrend
300,3,23,Downtrend
700,7,27,Downtrend
900,9,29,Downtrend
900,9,29,Downtrend
900,9,29,Downtrend
1500,15,35,Uptrend
1500,15,35,Uptrend
2000,20,40,Uptrend
3500,35,55,Uptrend
3700,37,57,Uptrend
3700,37,57,Uptrend
4500,45,65,Downtrend
4800,48,68,Downtrend
5300,53,73,Uptrend
5400,54,74,Downtrend
6100,61,81,Uptrend
6600,66,86,Downtrend
7400,74,94,Downtrend
7400,74,94,Downtrend
9300,93,113,Downtrend
9400,94,114,Downtrend
9400,94,114,Downtrend
9900,99,119,Uptrend
9900,99,119,Uptrend
10300,103,123,Downtrend
11700,117,137,Uptrend
11700,117,137,Uptrend
12300,123,143,Downtrend
12300,123,143,Downtrend
12400,124,144,Downtrend
12400,124,144,Downtrend
13800,138,158,Uptrend
13900,139,159,Downtrend
13900,139,159,Downtrend
14000,140,160,Downtrend
14000,140,160,Downtrend
14500,145,165,Downtrend
14500,145,165,Downtrend
15200,152,172,Uptrend
15200,152,172,Uptrend
16300,163,183,Uptrend
16700,167,187,Uptrend
18500,185,205,Downtrend
18600,186,206,Downtrend
18600,186,206,Downtrend
19100,191,211,Downtrend
19100,191,211,Downtrend
19400,194,214,Uptrend
19500,195,215,Uptrend
19500,195,215,Uptrend
19700,197,217,Uptrend
19700,197,217,Uptrend
19700,197,217,Uptrend
20300,203,223,Downtrend
20300,203,223,Downtrend
20300,203,223,Downtrend
21300,213,233,Uptrend
21900,219,239,Uptrend
21900,219,239,Uptrend
22000,220,240,Uptrend
22000,220,240,Uptrend
22700,227,247,Downtrend
22700,227,247,Downtrend
22700,227,247,Downtrend
23900,239,259,Downtrend
24400,244,264,Downtrend
24400,244,264,Downtrend
25800,258,278,Uptrend
25800,258,278,Uptrend
26100,261,281,Uptrend
26700,267,287,Uptrend
26700,267,287,Uptrend
28100,281,301,Uptrend
28600,286,306,Downtrend
28600,286,306,Downtrend
28700,287,307,Downtrend
28800,288,308,Downtrend
28800,288,308,Downtrend
30100,301,321,Uptrend
30100,301,321,Uptrend
30400,304,324,Uptrend
32000,320,340,Downtrend
32000,320,340,Downtrend
32200,322,342,Downtrend
32200,322,342,Downtrend
32900,329,349,Downtrend
32900,329,349,Downtrend
