timestamp,pos,future_pos,future_trend
5700,57,77,Downtrend
5700,57,77,Downtrend
5800,58,78,Downtrend
5800,58,78,Downtrend
5900,59,79,Uptrend
5900,59,79,Uptrend
6100,61,81,Uptrend
6100,61,81,Uptrend
16400,164,184,Uptrend
16400,164,184,Uptrend
16400,164,184,Uptrend
19300,193,213,Uptrend
19300,193,213,Uptrend
29100,291,311,Downtrend
34600,346,366,Downtrend
51500,515,535,Uptrend
51500,515,535,Uptrend
56300,563,583,Uptrend
60900,609,629,Uptrend
80900,809,829,Uptrend
80900,809,829,Uptrend
84300,843,863,Uptrend
99500,995,1015,Uptrend
99500,995,1015,Uptrend
106500,1065,1085,Uptrend
106500,1065,1085,Uptrend
107900,1079,1099,Uptrend
123000,1230,1250,Downtrend
123000,1230,1250,Downtrend
128500,1285,1305,Downtrend
128500,1285,1305,Downtrend
145600,1456,1476,Downtrend
145600,1456,1476,Downtrend
153900,1539,1559,Downtrend
156300,1563,1583,Uptrend
156300,1563,1583,Uptrend
159100,1591,1611,Uptrend
164300,1643,1663,Downtrend
167700,1677,1697,Downtrend
172000,1720,1740,Uptrend
177000,1770,1790,Uptrend
177000,1770,1790,Uptrend
192200,1922,1942,Downtrend
192200,1922,1942,Downtrend
207300,2073,2093,Uptrend
207300,2073,2093,Uptrend
207600,2076,2096,Uptrend
207600,2076,2096,Uptrend
209600,2096,2116,Uptrend
209600,2096,2116,Uptrend
225500,2255,2275,Downtrend
229700,2297,2317,Downtrend
240100,2401,2421,Downtrend
240100,2401,2421,Downtrend
243100,2431,2451,Downtrend
243100,2431,2451,Downtrend
254000,2540,2560,Uptrend
254000,2540,2560,Uptrend
261800,2618,2638,Uptrend
261800,2618,2638,Uptrend
267700,2677,2697,Downtrend
267700,2677,2697,Downtrend
276000,2760,2780,Downtrend
278000,2780,2800,Downtrend
278000,2780,2800,Downtrend
279600,2796,2816,Uptrend
280200,2802,2822,Downtrend
280200,2802,2822,Downtrend
288600,2886,2906,Uptrend
288600,2886,2906,Uptrend
295100,2951,2971,Downtrend
295100,2951,2971,Downtrend
297200,2972,2992,Downtrend
297200,2972,2992,Downtrend
301100,3011,3031,Downtrend
301100,3011,3031,Downtrend
301600,3016,3036,Uptrend
301600,3016,3036,Uptrend
311000,3110,3130,Downtrend
311000,3110,3130,Downtrend
317400,3174,3194,Downtrend
317600,3176,3196,Downtrend
