timestamp,pos,future_pos,future_trend
2100,21,41,Uptrend
4700,47,67,Uptrend
4700,47,67,Uptrend
4800,48,68,Downtrend
4800,48,68,Downtrend
4800,48,68,Downtrend
6800,68,88,Uptrend
7000,70,90,Uptrend
7000,70,90,Uptrend
7000,70,90,Uptrend
9000,90,110,Downtrend
12900,129,149,Downtrend
12900,129,149,Downtrend
13900,139,159,Downtrend
13900,139,159,Downtrend
19300,193,213,Uptrend
21000,210,230,Downtrend
21000,210,230,Downtrend
24000,240,260,Downtrend
25100,251,271,Uptrend
25100,251,271,Uptrend
27600,276,296,Uptrend
27600,276,296,Uptrend
29500,295,315,Uptrend
29500,295,315,Uptrend
30500,305,325,Uptrend
30700,307,327,Downtrend
30700,307,327,Downtrend
30700,307,327,Downtrend
31400,314,334,Uptrend
32600,326,346,Downtrend
32600,326,346,Downtrend
32600,326,346,Downtrend
33600,336,356,Uptrend
33600,336,356,Uptrend
37000,370,390,Uptrend
37000,370,390,Uptrend
37300,373,393,Uptrend
37300,373,393,Uptrend
39200,392,412,Uptrend
39300,393,413,Uptrend
39300,393,413,Uptrend
40100,401,421,Downtrend
45200,452,472,Downtrend
45200,452,472,Downtrend
48300,483,503,Downtrend
48300,483,503,Downtrend
49100,491,511,Downtrend
49100,491,511,Downtrend
49100,491,511,Downtrend
49100,491,511,Downtrend
51700,517,537,Uptrend
56100,561,581,Uptrend
56100,561,581,Uptrend
57100,571,591,Downtrend
57100,571,591,Downtrend
57500,575,595,Downtrend
57500,575,595,Downtrend
57500,575,595,Downtrend
57500,575,595,Downtrend
58400,584,604,Downtrend
58400,584,604,Downtrend
59200,592,612,Downtrend
59200,592,612,Downtrend
59800,598,618,Downtrend
59800,598,618,Downtrend
60300,603,623,Uptrend
60300,603,623,Uptrend
61600,616,636,Downtrend
61600,616,636,Downtrend
62300,623,643,Downtrend
62700,627,647,Downtrend
62700,627,647,Downtrend
68100,681,701,Uptrend
68100,681,701,Uptrend
69600,696,716,Uptrend
72200,722,742,Downtrend
72200,722,742,Downtrend
72400,724,744,Downtrend
72400,724,744,Downtrend
73700,737,757,Uptrend
73700,737,757,Uptrend
74100,741,761,Downtrend
74100,741,761,Downtrend
78400,784,804,Downtrend
78400,784,804,Downtrend
81700,817,837,Uptrend
81700,817,837,Uptrend
81700,817,837,Uptrend
81700,817,837,Uptrend
81700,817,837,Uptrend
81700,817,837,Uptrend
82000,820,840,Downtrend
82000,820,840,Downtrend
82200,822,842,Downtrend
82200,822,842,Downtrend
82900,829,849,Downtrend
83000,830,850,Downtrend
83000,830,850,Downtrend
87700,877,897,Downtrend
87700,877,897,Downtrend
89400,894,914,Downtrend
89500,895,915,Downtrend
89900,899,919,Uptrend
